rent,rentsqm,area,yearc,location,bath,kitchen,cheating,district
109.948715209961,4.22879695892334,26,1918,2,0,0,0,916
243.282043457031,8.68864631652832,28,1918,2,0,0,1,813
261.641021728516,8.72136878967285,30,1918,1,0,0,1,611
106.410255432129,3.54700875282288,30,1918,2,0,0,0,2025
133.384613037109,4.44615411758423,30,1918,2,0,0,1,561
339.025634765625,11.3008508682251,30,1918,2,0,0,1,541
215.230773925781,6.94292783737183,31,1918,1,0,0,0,822
323.230773925781,10.4267997741699,31,1918,1,0,1,1,1713
216.307693481445,6.75961542129517,32,1918,1,0,0,0,1812
245.282043457031,7.43278980255127,33,1918,2,0,0,0,152
285.384613037109,8.39366626739502,34,1918,2,0,0,0,943
238.307693481445,6.80878973007202,35,1918,1,0,0,1,1711
374.461547851562,10.698902130127,35,1918,2,0,0,1,231
137.948715209961,3.83190870285034,36,1918,2,0,0,1,411
188.358963012695,4.95681524276733,38,1918,1,0,0,0,1711
261.948699951172,6.89338970184326,38,1918,1,0,0,0,1713
363.384613037109,9.31755352020264,39,1918,2,0,0,1,360
280.05126953125,7.18079996109009,39,1918,2,0,0,0,531
182.71794128418,4.56794834136963,40,1918,1,0,0,1,962
56.6666679382324,1.41666674613953,40,1918,2,0,0,0,210
147.743591308594,3.69358968734741,40,1918,2,0,0,0,541
358.820526123047,8.97051334381104,40,1918,2,0,0,1,231
331.128204345703,7.88400506973267,42,1918,1,0,0,1,552
170.256408691406,3.95945143699646,43,1918,1,0,0,0,2526
173.179489135742,4.02742958068848,43,1918,2,0,0,1,813
402.666687011719,9.36434364318848,43,1918,1,0,0,1,1811
401.948699951172,9.34764575958252,43,1918,1,0,0,0,811
289.846160888672,6.74061012268066,43,1918,2,0,0,1,231
210.769226074219,4.79020977020264,44,1918,1,0,0,0,1842
164.153854370117,3.6478636264801,45,1918,1,0,0,1,816
381.897430419922,8.48660945892334,45,1918,2,0,0,1,415
278.820526123047,6.19601011276245,45,1918,2,0,0,0,383
243.025634765625,5.40056896209717,45,1918,2,0,0,1,914
168.871795654297,3.75270676612854,45,1918,2,0,0,0,531
178.615371704102,3.96923065185547,45,1918,2,0,0,0,350
369.641021728516,8.03567695617676,46,1918,2,0,0,1,321
94.0512771606445,2.04459285736084,46,1918,1,0,0,1,1921
40.5128211975098,0.861974835395813,47,1918,2,0,0,1,521
186.717956542969,3.88995742797852,48,1918,1,0,0,0,1711
268.153869628906,5.58653879165649,48,1918,1,0,0,1,521
212.71794128418,4.43162393569946,48,1918,2,0,0,1,531
239.025650024414,4.97970104217529,48,1918,2,0,0,1,913
355.641021728516,7.40918970108032,48,1918,2,0,0,0,563
203.641021728516,4.15593957901001,49,1918,2,0,0,0,541
437.435882568359,8.92726135253906,49,1918,1,0,0,1,612
439.384613037109,8.96703052520752,49,1918,1,0,0,1,1811
252.820510864258,5.05641031265259,50,1918,1,0,0,1,611
201.230758666992,4.02461528778076,50,1918,1,0,0,0,611
353.794891357422,7.07589769363403,50,1918,2,0,0,0,411
346.102569580078,6.92205142974854,50,1918,1,0,0,0,914
221.28205871582,4.42564105987549,50,1918,1,0,0,1,1236
